idEstudiante,idPrograma,nombreDirector,fechaPublicacion,nombre,tema
1,73,Tess Filippello,11/18/2004,Chestnut weaver,Indian Jointvetch
2,73,Phylis Bastie,2/5/2009,Sage hen,Wildrye
3,53,Darline Collister,5/8/2005,"Hornbill, yellow-billed",Compact Phacelia
5,32,Danika Asch,3/8/2012,Bengal vulture,Eastern Narrowleaf Sedge
7,76,Shanda Bruckent,11/10/1998,Tawny frogmouth,Durango Root
13,77,Rafe Trangmar,2/6/1997,Burchell's gonolek,Spotted Gum
16,55,Jacinthe Wabersich,12/15/2005,"Weaver, chestnut",Fadyen's Silktassel
18,68,Clementine Giovannelli,11/8/1995,"Mongoose, yellow",White Doll's Daisy
20,78,Corie Sherrum,1/15/2005,Black-backed magpie,Homalium
22,60,Debbi Aggett,2/21/2013,"Otter, brazilian",Lichinodium Lichen
26,30,Goldi McDuff,3/6/2015,"Mongoose, javan gold-spotted",Forked Lineleaf Fern
28,13,Max Dowell,3/16/1997,"Snake, buttermilk",Balsamscale Grass
29,20,Thorsten Bontoft,2/20/2005,"Hawk, red-tailed",Purple Rattlesnakeroot
31,77,Roi Cast,3/7/2013,"Capuchin, brown",Rattlesnake Flower
32,15,Tamar Memmory,5/27/2016,Red lava crab,Palisade Grass
33,3,Odetta Peek,11/3/2017,Yellow-bellied marmot,Hairy Cyanea
36,4,Shaun Harlock,4/3/2015,Oriental white-backed vulture,Narrowleaf Silkgrass
39,18,Katharine Tenbrug,11/6/2012,"Cat, native",Pmc Manzanita
42,43,Allis Fairney,8/11/2004,"Cockatoo, sulfur-crested",Shady Woodsorrel
44,40,Emerson Hansard,5/6/2007,"Tapir, brazilian",Colorado Rinodina Lichen
45,3,Thedric Attride,6/4/2011,Great cormorant,Box Huckleberry
47,15,Karlee Cradey,2/24/2003,Dassie,Nodding Hypecoum
49,25,Alva Nicely,5/7/2020,"Peccary, collared",Comfortroot
52,20,Trenna Bunn,8/10/2012,Yellow-throated sandgrouse,Linanthus
53,75,Adrian Oman,3/26/2019,Red meerkat,Basindaisy
54,7,Olav Gulliford,3/28/1995,Indian leopard,Grassyslope Arctic Sedge
58,51,Kippy Dunne,8/10/2014,Long-billed cockatoo,Necklace Gladecress
60,34,Richart Belt,10/31/2007,Brown antechinus,Gumweed
63,45,Sherm Artharg,9/10/1999,European stork,Pin Lichen
65,46,Kimmie Shemelt,2/14/2004,"Bat, asian false vampire",Hillyhock
69,12,Delinda Perree,10/22/2005,Yellow-rumped siskin,Rusby's Locust
