idEstudiante,idPrograma,Programa,nombre,email,sexo,genero,fechaNacimiento,Modalidad Grado,telefono,fechaInicio,fechaFin
1,73,Fisica (Doctorado),Roger McKenzie,Heather.Okuneva8@yahoo.com,female,Cisgender woman,7/7/1994,tesis,3811467452,12/18/2015,6/24/2026
2,73,Fisica (Doctorado),Jonathan Wunsch,Molly75@hotmail.com,female,Bigender,11/3/1997,tesis,3982245333,12/6/2026,4/15/2033
3,53,Ingenieria Biomedica (Maestria),Annie Moore,Geoffrey53@gmail.com,male,Intersex man,1/29/1994,tesis,3033912772,11/9/2024,4/16/2031
4,57,Linguistica (Maestria),Rosalie Erdman MD,Lynne.Bahringer85@yahoo.com,female,Multigender,8/10/1999,bapi,3761246297,1/19/2029,6/22/2038
5,32,Medicina,Janis Stokes,Bert.Williamson27@yahoo.com,male,Gender variant,6/15/1993,tesis,3535204339,5/27/2020,12/4/2028
6,19,Ingenieria Agricola,Lydia Goldner,Janet.Graham@gmail.com,female,Neutrois,4/27/1992,bapi,3624144177,10/29/2021,11/30/2032
7,76,Matematicas (Doctorado),Roman Stroman MD,Jeremy2@hotmail.com,male,Trigender,1/7/1993,tesis,3211058851,4/10/2024,11/14/2029
8,7,Ciencias de la Computacion,Emma Keeling,Patty.Effertz@yahoo.com,female,Gender nonconforming,8/26/1992,pasantia,3444759497,7/2/2022,12/9/2030
9,45,Desarrollo Sostenible (Maestria),Dr. Jared Schmeler,Kristina19@gmail.com,female,Cis male,4/1/1998,pasantia,3178074381,2/4/2022,8/11/2032
10,34,Musica,Jermaine Witting II,Lester83@gmail.com,male,Omnigender,12/25/1991,pasantia,3017174156,10/26/2021,3/1/2033
11,44,Ciencias de la Informacion y la Comunicacion (Maestria),Carroll Davis,Shawn47@yahoo.com,male,T* woman,5/20/1993,pasantia,3581686791,6/25/2013,12/4/2018
12,34,Musica,Ed Bernier,Paulette_Weimann52@hotmail.com,female,Trigender,10/28/1999,bapi,3357945763,4/30/2031,10/10/2037
13,77,Medicina (Doctorado),Oscar Kemmer,Shelia18@hotmail.com,female,Demi-woman,2/5/1992,tesis,3663915580,6/17/2018,9/27/2025
14,68,Biologia (Doctorado),Joy Barrows,Jenna_Lockman78@gmail.com,female,Gender fluid,1/14/1997,pasantia,3080571943,12/25/2023,7/29/2031
15,32,Medicina,Alan Schiller,Deanna63@gmail.com,female,Transgender person,12/26/1990,pasantia,3504283408,2/1/2017,11/3/2027
16,55,Ingenieria de Materiales (Maestria),Dr. Virgil Langworth,Ronald.Lockman51@gmail.com,male,Cisgender woman,7/7/1999,tesis,3231525801,12/18/2030,12/23/2038
17,76,Matematicas (Doctorado),Mr. Dallas Leffler,Mable42@gmail.com,female,Trans woman,9/8/1997,bapi,3556268798,2/19/2018,1/24/2026
18,68,Biologia (Doctorado),Brittany Maggio,Tracey29@hotmail.com,female,Cis man,5/7/1995,tesis,3931414629,8/18/2017,3/27/2026
19,61,Odontologia (Maestria),Laurie Lang,Sophie.Ledner@gmail.com,female,Two-spirit person,4/15/1992,bapi,3340171559,10/22/2017,3/24/2028
